high,low,open,close,volume,macd_26,macd_9,macd_diff,adx,adx_neg,adx_pos,span_a,span_b,kijun,tenkan,rsi,cmf,sma,date,label
8792.994141,8636.74707,8744.210938,8680.875977,22600204051,359.845688,320.236268,39.60941995,31.53647775,14.85427121,27.88118889,7119.926636,7998.733643,8039.679199,8622.031494,64.54162423,0.22017686,8720.487196,1/22/2020,DOWN
8687.74707,8333.637695,8680.650391,8406.515625,25770680779,344.4472888,325.0784722,19.36881661,31.57692825,14.24557758,27.7166075,7245.259766,7981.643311,8039.679199,8652.647705,62.51508858,0.213431989,8780.11849,1/23/2020,DOWN
8514.666992,8266.84082,8405.567383,8445.43457,24397913026,306.5713948,321.3770567,-14.80566187,30.01561769,20.73291401,25.19661193,7256.445313,7954.262939,8039.679199,8749,54.70886815,0.208422217,8733.313043,1/24/2020,UP
8458.453125,8296.21875,8440.119141,8367.847656,19647331549,276.5075032,312.403146,-35.89564277,28.26285847,21.13182278,23.58072389,7263.098267,7906.404541,8039.679199,8715.601563,55.5566558,0.193437431,8693.137912,1/25/2020,DOWN
8602.401367,8325.498047,8364.410156,8596.830078,22177678796,243.6128201,298.6450808,-55.03226075,26.63529634,20.21774686,22.56071856,7276.709106,7821.937744,8039.679199,8715.601563,53.41025576,0.166725148,8653.589193,1/26/2020,UP
8977.726563,8597.308594,8597.308594,8909.819336,28647338393,233.3308219,285.582229,-52.2514071,25.7188579,18.72865381,24.72789974,7255.544922,7821.937744,8039.679199,8715.601563,58.50548381,0.230351825,8616.677192,1/27/2020,UP
9358.589844,8908.447266,8912.524414,9358.589844,34398744403,247.5838887,277.982561,-30.39867223,26.08896427,16.88624633,31.98880769,7225.430054,7810.664307,8039.679199,8715.601563,64.25921261,0.222792527,8613.011719,1/28/2020,UP
9406.431641,9269.467773,9357.470703,9316.629883,30682598115,291.7287094,280.7317907,10.9969187,27.31183676,15.00731874,37.84389388,7161.360962,7696.908936,8136.792969,8812.715332,70.56216599,0.233436398,8685.494466,1/29/2020,DOWN
9553.125977,9230.897461,9316.016602,9508.993164,32378792851,319.6433302,288.5140986,31.12923166,28.54281058,14.47939881,37.74139855,7156.29248,7688.445557,8357.9729,8836.63623,69.3310382,0.241130504,8758.715278,1/30/2020,UP
9521.706055,9230.776367,9508.313477,9350.529297,29432489719,353.2163197,301.4545428,51.76177688,29.97143594,13.29450417,38.37835011,7156.29248,7683.496338,8476.830811,8909.983398,71.76333421,0.303742867,8843.504015,1/31/2020,DOWN
9439.323242,9313.239258,9346.357422,9392.875,25922656496,362.8536944,313.7343731,49.1193213,31.29733664,12.31772072,35.54973217,7163.929688,7635.461182,8481.209473,8909.983398,67.04613866,0.247852224,8917.909939,2/1/2020,UP
9468.797852,9217.824219,9389.820313,9344.365234,30835736946,369.6472641,324.9169513,44.7303128,32.52853014,11.90809533,34.36752703,7254.694946,7633.919189,8639.950439,8909.983398,67.65794319,0.29711923,9027.505425,2/2/2020,DOWN
9540.37207,9248.633789,9344.683594,9293.521484,30934096509,366.8876321,333.3110875,33.57654465,33.08479781,13.6455285,32.08060227,7452.869263,7633.919189,8639.950439,8924.672363,66.14300534,0.259667016,9127.38661,2/3/2020,DOWN
9331.265625,9112.811523,9292.841797,9180.962891,29893183716,356.48856,337.946582,18.541978,33.78371785,12.59624086,31.50027571,7562.130493,7596.664795,8639.950439,8939.312012,64.51253387,0.218737419,9230.239258,2/4/2020,DOWN
9701.299805,9163.704102,9183.416016,9613.423828,35222060874,335.299558,337.4171772,-2.117619207,33.61222609,15.49102884,29.66102146,7562.130493,7474.282959,8639.950439,9075.217285,60.93158964,0.142780358,9295.142904,2/5/2020,UP
9824.619141,9539.818359,9617.821289,9729.801758,37628823716,349.3757188,339.8088855,9.56683333,34.38847536,13.41514498,34.91005793,7562.130493,7468.393799,8855.179443,9304.873535,68.22856935,0.164036857,9373.321181,2/6/2020,UP
9834.716797,9726.00293,9726.00293,9795.943359,34522718159,365.7062698,344.9883624,20.71790745,35.36352599,12.46236357,35.50595017,7562.130493,7468.393799,8916.839111,9468.715332,69.86000162,0.185217733,9414.566949,2/7/2020,UP
9876.749023,9678.910156,9793.070313,9865.119141,35172043762,379.6095213,351.9125942,27.69692718,36.28979461,12.10883168,34.76220842,7660.76001,7468.393799,8957.20874,9473.76416,70.77838753,0.154837237,9467.824002,2/8/2020,UP
10129.43555,9850.392578,9863.894531,10116.67383,35807884663,391.6946437,359.8690041,31.82563965,36.85897003,12.72476493,32.93137272,7777.252075,7468.393799,9008.841064,9494.780273,71.74799363,0.191481457,9507.393555,2/9/2020,UP
10165.76563,9784.563477,10115.55957,9856.611328,39386548075,416.7663284,371.2484689,45.51785949,37.93273339,11.78219743,37.19973255,8020.828125,7709.780518,9198.138184,9621.123535,74.99697181,0.281673111,9592.520725,2/10/2020,DOWN
10210.05273,9729.334961,9855.891602,10208.23633,37648059389,410.9141859,379.1816123,31.73257359,38.52838665,12.32135321,33.54421204,8105.501343,7715.083252,9216.303223,9639.288574,66.48463515,0.234868672,9644.046984,2/11/2020,UP
10393.61133,10202.3877,10202.3877,10326.05469,43444303830,429.6962488,389.2845396,40.41170917,38.7435313,12.22332349,29.59470456,8105.501343,7715.083252,9238.446777,9661.432129,71.23809102,0.254029708,9740.032661,2/12/2020,UP
10457.62695,10116.16113,10323.96094,10214.37988,49356071373,448.9133324,401.2102982,47.70303424,39.37660024,11.63640185,32.78285265,8139.503784,7749.085693,9330.226074,9753.211426,72.63840319,0.280066227,9854.758572,2/13/2020,DOWN
10321.99609,10125.53418,10211.55078,10312.11621,43338264162,449.9450992,410.9572584,38.98784082,39.4386,12.78735379,30.01163386,8166.54187,7776.123779,9362.233887,9810.665527,69.19937119,0.2620236,9969.582682,2/14/2020,UP
10341.55566,9874.427734,10313.85645,9889.424805,43865054831,453.4225142,419.4503096,33.97220463,39.49617121,12.15092582,28.51795162,8313.194946,7852.205811,9362.233887,9998.722656,70.51506724,0.294933633,10047.21517,2/15/2020,DOWN
10053.96875,9722.386719,9889.179688,9934.433594,43374780305,417.2608039,419.0124084,-1.751604536,38.10545925,16.85372755,25.29439685,8313.194946,7852.205811,9362.233887,10068.26855,58.81392554,0.232126366,10064.95106,2/16/2020,UP
9938.81543,9507.637695,9936.560547,9690.142578,45998298413,387.7643154,412.7627898,-24.99847441,36.07740696,19.1602288,23.28258331,8330.855347,7852.205811,9362.233887,10068.26855,59.58300103,0.213368294,10080.33887,2/17/2020,DOWN
10161.93555,9632.382813,9691.230469,10141.99609,47271023953,340.7479621,398.3598243,-57.61186221,33.71255071,22.23144038,20.94922525,8346.163452,7852.205811,9362.233887,9982.632324,53.71964149,0.175433832,10060.89703,2/18/2020,UP
10191.67578,9611.223633,10143.79883,9633.386719,46992019710,336.0739148,385.9026424,-49.82872757,31.93474344,19.62950164,23.42862754,8394.3396,7852.205811,9362.233887,9982.632324,61.30467502,0.18445324,10063.71061,2/19/2020,DOWN
